NOMBRE;CATEGORIA;SUBCATEGORIA;RESEÑA HISTORICA;DIRECCION;   NUMERO DE TELEFONO;HORARIO;PAGINA WEB O CORREO ELECTRONICO;PRECIO;ACCESIBILIDAD (discapacitados) ;RUTAS DEL MIO CERCANAS;PARQUEADEROS;RECOMENDACIONES;RESPONSABLE;;;;;;;;;;;;;;;;
ZOOLOGICO DE CALI Y JARDIN BOTANICO;NATURALEZA;ZOOLOGICO;Ubicado en la carrera 2ª Oeste con calle 14 Oeste del barrio Santa Teresita. Los orígenes del Parque Zoológico se remonta al año de 1968, a partir de esa época se inicia el proceso de diseño y construcción,  de  lo que hoy en día es la planta principal y algunos de los hábitat  existentes. En la actualidad exhibe más de 32 especies de reptiles, 83 especies de aves y 53 especies de mamíferos, ofrece además un programa de adopción de diferentes especies.;Carrera 2 oeste, calle 14 esquina / Carrera 1 oeste # 21 - 229;4880888;9:00 am a 4:30 pm  /   sabado 9 am  lun - vier 8:am a 3:00 pm;"
www.zoologicodecali.com.co/
";Adultos $ 20.900 Niños $ 13.900 / Jardin botanico $ 7000;Si / jardin botanico No ;A02, P08A, E21, A05;Carros $7000 - Motos $ 3.200;El jardin botanico esta siendo operado por el Zoologico de Cali;N/A;;;;;;;;;;;;;;;;
RIVERA DEL  RIO CALI (ZOOLOGICO - LA TERTULIA);NATURALEZA;NATURALEZA URBANA;"Espacio para la contemplación; paisaje, fauna y flora, y realización de actividad deportiva ";Desde la carrera 1con calle 1 oeste hasta Carrera 1 oeste con carrera 2b oeste.;N/A;Espacio Público;N/A;Entradaa libre;N/A;E21, A02, A05;E21, A02, A05;N/A;N/A;;;;;;;;;;;;;;;;
PARQUE DE LA BABILLA;NATURALEZA;NATURALEZA URBANA;Construido a mediados del siglo XX, este ecosistema tiene conexión con un bosque natural que le permite el intercambio de especies vegetales y de animales, creando un escenario de conservación del patrimonio biótico de la ciudad. Entre las especies que se pueden observar están en sus alrededores se encuentran: aves, iguanas, ardillas, peces, tortugas, guatines y babillas;Calle 14 entre carrera 105 y carrera 107;N/A;N/A;N/A;N/A;Solo por un sector ya que por tratarse de un parque es dificil el acceso;P21A, T31, A19A;Cuenta con parqueaderos a sus alrededores;N/A;N/A;;;;;;;;;;;;;;;;
PARQUE DE LAS GARZAS;NATURALEZA;NATURALEZA URBANA;El Ecoparque es un espacio para la recreación en familia y amigos en medio de la naturaleza. Ofrece actividades relacionadas con la pesca, camping, cabalgatas, asados, entre otras. Cuenta también con senderos ecológicos, zonas húmedas, restaurante dispuesto a deleitar a nuestros clientes con diversa variedad de pescados, entre otros. Sin lugar a duda EL ECOPARQUE LAS GARZAS es la mejor elección para realizar tu actividad favorita compartiendo con los tuyos.;Carrera 127 Con Calle 16;N/A;Martes a Domingo de 8:00 am a 5:00 pm ;ecoparquedelasgarzas.blogspot.com/2012/05/eco-parque-de-las-garzas.html;Gratuito;No;A17C, A19A, T31, E41, E21;Si, es afuera del ecoparuqe, no tiene costo;No registra;Dagma;;;;;;;;;;;;;;;;
PANCE ;NATURALEZA;RUTA DE LA MONTAÑA ;Oferta de establecimientos  para recreación y esparcimiento, disfrute de sol y rio, gastronomía local, centros recreacionales, alojamiento rural, Centro de Educación Ambiental,  miradores, ecoparque rio pance , avistamiento de aves, paisajismo, camping, lagos de pesca, observación de fauna y flora, senderismo;"Veredas: la vorgaine, san francisco, El Peón, Pico de Águila
El BanqueoLa VorágineSan Francisco, El Topacio, El Pato
";N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
VILLACARMELO;NATURALEZA;RUTA DE LA MONTAÑA ;Oferta de establecimientos para recreación y esparcimiento, disfrute de sol y rio, gastronomía local, alojamiento rural, parque temático,  miradores, reservas ecológica, parque ecoturistico, avistamiento de aves, paisajismo, camping, observación de fauna y flora, senderismo;Veredas: El Carmen, cabecera, La Candelaria, La Fonda, Dos Quebradas, Alto de Los Mangos.;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
LA BUITRERA ;NATURALEZA;RUTA DE LA MONTAÑA ;Disfrute de sol y rio, gastronomía local, alojamiento rural, avistamiento de aves, paisajismo.;Veredas: Altos del Otoño, el Rosario, Pueblo Nuevo, Anchicayá,;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
LOS ANDES;NATURALEZA;VUELTA A OCCIDENTE;Oferta de establecimientos para recreación y esparcimiento, gastronomía local, parque temático,  centro de educación ambiental, avistamiento de aves, observación de orquídeas,  paisajismo, camping, caminatas, monumento a cristo rey, spa y  bienestar;Cabecera, el Faro, La Reforma, El Mango, los Andes parte baja, El Mameyal, Las Pilas del Cabuyal, El Cabuyal, sector Cristo Rey;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
PICHINDÉ;NATURALEZA;VUELTA A OCCIDENTE;Oferta:  avistamiento de aves, disfrute de sol y rio, caminatas, gastronomía local, miradores, alojamiento rural, paisajismo;Veredas: Peñas blancas, cabecera, lomas de la cajita;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
LA LEONERA;NATURALEZA;VUELTA A OCCIDENTE;Oferta: gastronomía local, parque temático,  centro de educación ambiental,  avistamiento de aves,  paisajismo, camping, caminatas,  spa y  bienestar, fincas agrocturísticas, senderismo, fotografía, sol y rio, lagos de pesca, alojamiento rural;veredas: el pato, cabecera, el pauil, el porvenir;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
FELIDIA;NATURALEZA;VUELTA A OCCIDENTE;Oferta: establecimientos para recreación y esparcimiento, gastronomía local, avistamiento de aves, paisajismo, camping, caminatas, fincas agrocturísticas educativas, senderismo, fotografía, sol y rio, alojamiento rural, monumentos, ;Veredas: las nieves, santa elena, la esperanza, el diamante , el cedral, la soledad;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
EL SALADITO;NATURALEZA;VUELTA A OCCIDENTE;Oferta: establecimientos para recreación y esparcimiento, gastronomía local, avistamiento de aves,  paisajismo, camping, caminatas, fotografía, sol y rio, alojamiento rural, bosque de niebla;veredas: san antonio, san pablo, san miguel, cabecera, montañuelas;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
LA ELVIRA;NATURALEZA;VUELTA A OCCIDENTE;Oferta:  avistamiento de aves, paisajismo, camping, caminatas, alojamiento rural,  fotografía, disfrute de sol y rio, bosque de niebla;veredas: cabecera, alto Aguactal, los laureles, kilometro 18, ;N/A;Segun la actividad que se realice ;N/A;Segun la actividad que se realice ;NO;NO;Parqueadero sobre vias ;Ropa y calzado cómodos segun la actividad ;N/A;;;;;;;;;;;;;;;;
TERMINAL MENGA;TRANSPORTE ;ESTACIONES MIO;La Terminal Menga es una de las terminales de cabecera del Sistema Integrado de Transporte MIO de la ciudad de Cali, inaugurado en el año 2008; Esquina con calle 3N., Autooriental;6204040;Lun a Sab 5:00am a 11:00pm - dom y fest. 6:00am a 10:00pm ;www.mio.com.co;$2.000;Si;E21, P21B, P24A, P24C, P27C, P27D, P30A, ;No;N/A;Metro Cali;;;;;;;;;;;;;;;;
ESTACION PASO DEL COMERCIO;TRANSPORTE ;ESTACIONES MIO;Estación cabecera diseñada con dos plataformas para parqueo que permiten operar diez rutas entre troncales, pre troncales y alimentadores. Adicionalmente en la parte externa se ubicaron bahías para el ascenso descenso de pasajeros provenientes de los municipios aledaños. ;Carrera 1 entre calles 70 y 73;6204040;Lun a sab 6:00am a 9:00 pm - Dom y fest no opera;www.mio.com.co;$2.000;Si;T31, E31, E37, A33, A34, A35A, A35B, ;NO;N/A;Metro Cali;;;;;;;;;;;;;;;;
TERMINAL ANDRES SANIN;TRANSPORTE ;ESTACIONES MIO;La Terminal Andrés Sanín es una de las terminales de cabecera del Sistema Integrado de Transporte MIO de la ciudad de Cali, inaugurado en el año 2008;Cl 75, Cra 19;6204040;N/A;www.mio.com.co;$2.000;Si;E41 - T40 - T47B - P12A - P14A - P24A - P24B - P24C - P40A - P40B - P47A - P47B - P47C - P84A - P84B - A41A - A42B - A44A - A44B - A47 - A53 - A85;No;N/A;Metro Cali;;;;;;;;;;;;;;;;
ESTACION NUEVO LATIR;TRANSPORTE ;ESTACIONES MIO;N/A;Calle 81 con carrera 28D;6204040;Lun a sab 5.00am a 11:00 pm - Dom y fest de 6:00 am a 10:00 pm;www.mio.com.co;$2.000;Si;T57A, T50, E52, P52A, A42AT, A42B, A57, A52, ;No;N/A;Metro Cali;;;;;;;;;;;;;;;;
ESTACION CALIPSO;TRANSPORTE ;ESTACIONES MIO;Estación de servicio del MIO que tiene cobertura en las comunas 13, 15 y 16. Esta terminal integra 13 rutas (T50, T57A, E52, P21B, P47B, P52A, P80A, P82, A82, A84, A85, A86 y A56) entre  alimentadoras, pretroncales y troncales.;Autopista simón bolivar con carrera 28E;6204040;lunes a sábado de 5:00 a.m. a 11:00 p.m. y los domingos y festivos de 6:00 a.m. a 10:00 p.m.;www.mio.com.co;$2.000;Si;T50, T57A, E52, P21B, P47B, P52A, P80A, P82, A82, A84, A85, A86 y A56;No;N/A;N/A;;;;;;;;;;;;;;;;
ESTACION TORRE DE CALI;TRANSPORTE ;ESTACIONES MIO;Estación de servicio del MIO, Esta terminal integra 9 rutas (E21 - E37- E52-T31-P27D-P30A-P52D-P72) ;Troncal Carrera 1;6204040;lunes a sábado de 5:00 a.m. a 11:00 p.m. y los domingos y festivos de 6:00 a.m. a 10:00 p.m.;www.mio.com.co;$2.000;Si;E21 - E37- E52-T31-P27D-P30A-P52D-P72;No;N/A;Metro Cali;;;;;;;;;;;;;;;;
ESTACION UNIVERSIDADES;TRANSPORTE ;ESTACIONES MIO;Universidades es una de las estaciones del Sistema Integrado de Transporte MIO de la ciudad de Cali, inaugurado en el año 2008. A la fecha es la principal estación de parada del extremo sur de la ciudad. Rutas expresas y troncales: E21 - E31 - E41 - T31,rutas pretroncales: P10A - P10B - P10D - P12A - P14A - P21A - P21B - P27C - P51,Rutas alimentadoras: A11 - A11B - A13A - A13C - A14A - A14B - A17A - A17B - A17C - A18 - A19A;Carrera 100 # 16;6204040;lunes a sabado de 6:00am a 10:30 pm  y domingos y festivos 6:00 am a 10:00pm ;www.mio.com.co;$2.000;Si;E21 - E31 - E41 - T31 - P10A - P10B - P10D - P12A - P14A - P21A - P21B - P27C - P51 - A11 - A11B - A13A - A13C - A14A - A14B - A17A - A17B - A17C - A18 - A19A;No ;N/A;Metro Cali;;;;;;;;;;;;;;;;
TERMINAL DE TRANSPORTE TERRESTRE;TRANSPORTE ;ESTACIONES MIO;La terminal de transporte brinda comodidad, seguridad y accesibilidad a los usuarios de la a través de una infraestructura que permita la prestación de servicios conexos al transporte, contribuyendo al ordenamiento urbanístico de la ciudad.;Calle 30 #29;6683655;"Lunes a viernes
7:30 a.m. a 12:30 p.m.
1:00 p.m a 5:00 p.m. / Salida y llegada de transporte 24 horas";www.mio.com.co;Depende del tipo de servicio;Si;E21 - E27 - E27B;No- Alrededores;N/A;N/A;;;;;;;;;;;;;;;;
PUNTO DE INFORMACION TURISTICO;INFORMACION TURISTICA;PUNTO DE INFORMACION TURISTICO;La Secretaría de Turismo de Santiago de Cali dispone de dos Puntos de Información Turística (PIT's), uno ubicado en la carrera 4 con calle 6 esquina y otro en la terminal de transportes, cuyo objetivo principal es ofrecer atención gratuita, bilingüe, a nacionales y extranjeros, brindando atención personalizada por parte de personal con amplios conocimientos sobre la oferta turística, pública y privada de la ciudad en cuanto a los atractivos, rutas, operadores, facilidades, escenarios y actividades culturales, tramites institucionales, entre otros. Estos cuentan además con una amplia variedad de material promocional conformado por mapas, revistas, folletos y plegables que contienen información de interés turístico y cultural y son distribuidos de manera gratuita. ;"Carrera 5 #6-05 (centro cultural de Cali); Cl. 30 #29 (terminal de transporte)";8856173;Lunes a Viernes de 8:00 am a 12:00 pm y 2:00 pm a 5:00 pm;No registra;Gratuito;Si;E27- E27B - T31 (A06-A05).;Si -  Centro cultural alrededores;N/A;N/A;;;;;;;;;;;;;;;;
