"REGIÓN","OTROS TERRITORIOS","PAÍS","Localización","EXIGE VISA CORTA DURACIÓN","EXIGE VISA PARA PASAPORTE OFICIAL","EXIGE VISA PARA PASAPORTE DIPLOMATICO","CONDICIONES ESPECIALES","Identificador","FECHA"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","08/01/2024"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","08/01/2024"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","08/01/2024"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","08/01/2024"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","08/01/2024"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","08/01/2024"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","08/01/2024"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","08/01/2024"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","08/01/2024"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","08/01/2024"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","08/01/2024"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","08/01/2024"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","08/01/2024"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","08/01/2024"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","08/01/2024"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","08/01/2024"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","08/01/2024"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","08/01/2024"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","08/01/2024"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","08/01/2024"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","08/01/2024"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","08/01/2024"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","08/01/2024"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","08/01/2024"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","08/01/2024"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","08/01/2024"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","08/01/2024"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","08/01/2024"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","08/01/2024"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","08/01/2024"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","08/01/2024"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","08/01/2024"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","08/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","08/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","08/01/2024"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","08/01/2024"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","08/01/2024"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","08/01/2024"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","08/01/2024"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","08/01/2024"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","08/01/2024"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","08/01/2024"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","08/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","08/01/2024"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","08/01/2024"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","08/01/2024"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","08/01/2024"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","08/01/2024"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","08/01/2024"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","08/01/2024"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","08/01/2024"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","09/01/2024"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","09/01/2024"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","09/01/2024"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","09/01/2024"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","09/01/2024"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","09/01/2024"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","09/01/2024"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","09/01/2024"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","09/01/2024"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","09/01/2024"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","09/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","09/01/2024"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","09/01/2024"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","09/01/2024"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","09/01/2024"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","09/01/2024"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","09/01/2024"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","09/01/2024"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","09/01/2024"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","09/01/2024"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","09/01/2024"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","09/01/2024"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","09/01/2024"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","09/01/2024"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","09/01/2024"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","09/01/2024"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","09/01/2024"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","09/01/2024"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","09/01/2024"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","09/01/2024"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","09/01/2024"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","09/01/2024"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","09/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","09/01/2024"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","09/01/2024"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","09/01/2024"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","09/01/2024"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","09/01/2024"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","09/01/2024"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","09/01/2024"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","09/01/2024"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","09/01/2024"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","09/01/2024"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","09/01/2024"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","09/01/2024"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","09/01/2024"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","09/01/2024"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","09/01/2024"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","09/01/2024"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","09/01/2024"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","09/01/2024"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","09/01/2024"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","09/01/2024"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","09/01/2024"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","09/01/2024"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","09/01/2024"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","09/01/2024"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","09/01/2024"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","09/01/2024"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","09/01/2024"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","09/01/2024"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","09/01/2024"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","09/01/2024"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","09/01/2024"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","09/01/2024"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","09/01/2024"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","09/01/2024"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","09/01/2024"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","09/01/2024"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","09/01/2024"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","09/01/2024"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","09/01/2024"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","09/01/2024"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","09/01/2024"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","09/01/2024"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","09/01/2024"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","09/01/2024"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","09/01/2024"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","09/01/2024"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","09/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","09/01/2024"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","09/01/2024"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","09/01/2024"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","09/01/2024"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","09/01/2024"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","09/01/2024"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","09/01/2024"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","09/01/2024"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","09/01/2024"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","09/01/2024"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","09/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","09/01/2024"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","09/01/2024"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","09/01/2024"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","09/01/2024"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","09/01/2024"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","09/01/2024"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","09/01/2024"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","10/01/2024"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","10/01/2024"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","10/01/2024"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","10/01/2024"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","10/01/2024"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","10/01/2024"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","10/01/2024"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","10/01/2024"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","10/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","10/01/2024"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","10/01/2024"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","10/01/2024"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","10/01/2024"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","10/01/2024"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","10/01/2024"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","10/01/2024"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","10/01/2024"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","10/01/2024"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","10/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","10/01/2024"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","10/01/2024"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","10/01/2024"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","10/01/2024"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","10/01/2024"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","10/01/2024"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","10/01/2024"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","10/01/2024"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","10/01/2024"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","10/01/2024"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","10/01/2024"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","10/01/2024"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","10/01/2024"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","10/01/2024"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","10/01/2024"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","10/01/2024"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","10/01/2024"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","10/01/2024"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","10/01/2024"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","10/01/2024"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","10/01/2024"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","10/01/2024"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","10/01/2024"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","10/01/2024"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","10/01/2024"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","10/01/2024"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","10/01/2024"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","10/01/2024"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","10/01/2024"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","10/01/2024"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","10/01/2024"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","10/01/2024"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","10/01/2024"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","10/01/2024"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","10/01/2024"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","10/01/2024"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","10/01/2024"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","10/01/2024"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","10/01/2024"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","10/01/2024"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","10/01/2024"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","10/01/2024"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","10/01/2024"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","10/01/2024"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","10/01/2024"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","10/01/2024"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","10/01/2024"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","10/01/2024"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","10/01/2024"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","10/01/2024"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","10/01/2024"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","10/01/2024"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","10/01/2024"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","10/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","10/01/2024"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","10/01/2024"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","10/01/2024"
